,GINI
ECO_NPP,0.6717912
NH4,0.076282315
MICRO_N,0.050116155
NO3_7,0.034190465
ICE_6_SURF,0.020498868
SOC_4,0.020355389
NET_PL_EXCH_N,0.015369203
ICE_6_SOIL,0.012433584
N2_FIXN,0.0089961095
O2_12,0.005984346
SOC_6,0.004976708
ICE_4_SOIL,0.004341009
CO2_9,0.0041517164
TTL_DIC,0.0036202131
SUR_DIC_FLX,0.0035490291
ECO_LAI,0.0029198702
TEMP_11,0.0028098982
N2O_FLUX,0.0025341662
SUB_DIN_FLX,0.002491409
WTR_4_SOIL,0.0024634202
RESIDUE_C,0.0023666772
TMAX_SOIL_13,0.0022379041
NO3_12,0.0020206529
SUB_DIP_FLX,0.0018500704
WTR_11_SURF,0.0017894229
HUMUS_C,0.0017262127
CO2_FLUX,0.001676996
O2_4,0.00164829
O2_8,0.0015640506
SUB_DON_FLX,0.0015166096
CO2_11,0.0015070351
NH4_12,0.0014304839
NO3_4,0.0013851235
WTR_6_SOIL,0.0012780032
CO2_13,0.0012612855
LITTER_C,0.0012553551
CH4_14,0.0012285153
O2_FLUX_SOIL,0.0010303986
PO4_9,0.0010227072
SOC_1,0.0010146729
ECO_GPP,0.00094159174
CO2_8,0.0009358955
NO3_11,0.0007613483
EXCH_P_3,0.0007018705
ECO_RA,0.0006419723
RESIDUE_N,0.00060821447
SOC_14,0.00060356414
NO3_1,0.0005822456
SURF_ELEV,0.000568163
TEMP_14,0.0005504493
PO4_11,0.0005402196
WTR_12_SOIL,0.00052902655
PO4_8,0.00051364716
PRECN_SOIL,0.0004946961
NET_N_MIN,0.00048184162
O2_9,0.00047681923
CO2_10,0.000458879
MICRO_C,0.00045116484
NH4_4,0.00044709753
TEMP_12,0.00043507837
O2_14,0.00040276468
EXCH_P_5,0.00038884432
PO4_1,0.00038702134
SUR_DOC+SED_FLX,0.00037170734
NH4_9,0.00031780868
SOIL_RN,0.00026322686
SUB_DOC_FLX,0.00024780314
NET_PL_EXCH_P,0.00024687036
EXCH_P_2,0.00022195924
PO4_5,0.0002003854
ECO_RH,0.0001983673
WTR_12_SURF,0.00019646522
NO3_8,0.00019384197
NO3_14,0.00018869537
SOC_7,0.0001812597
NO3_10,0.00017506345
CH4_FLUX_SOIL,0.00016415687
WTR_9_SOIL,0.00015343564
WTR_11_SOIL,0.00014864617
NH4_10,0.00014698139
CH4_11,0.00012633558
NH4_11,0.00012413599
WTR_6_SURF,0.00011760478
NH4_RES,0.00011571275
SOL_RADN,0.00011569738
PO4_6,0.00011455331
WTR_8_SOIL,0.00010959433
O2_11,0.00010739387
AUTO_RESP,0.00010586946
RESIDUE_P,0.00010025036
CH4_5,8.892122e-05
WTR_10_SOIL,8.648435e-05
CH4_9,8.295711e-05
NO3_6,7.92297e-05
EXCH_P_6,7.537474e-05
SOC_2,7.476802e-05
WTR_9_SURF,7.466335e-05
PO4_3,7.229703e-05
NH4_1,7.101662e-05
SOC_12,6.4467626e-05
CO2_12,6.393545e-05
EXCH_P_12,6.232744e-05
PO4_10,6.0784885e-05
NH4_6,5.8408943e-05
ICE_2_SURF,5.824127e-05
ECO_CO2_FLUX,5.5411616e-05
DISCHG_SURF,5.1416948e-05
NH4_13,4.019541e-05
MICRO_P,3.7962116e-05
TEMP_9,3.5995723e-05
SOIL_LE,3.0991712e-05
CH4_FLUX,2.8361019e-05
CH4_7,2.7516746e-05
WTR_1_SOIL,2.4066701e-05
NH4_7,2.1431011e-05
NH4_2,2.0205049e-05
ECO_H,1.9635701e-05
SOC_5,1.8683231e-05
O2_1,1.7889326e-05
TEMP_10,1.7557602e-05
SURF_RES,1.7050115e-05
O2_5,1.6289681e-05
ECO_LE,1.5623049e-05
O2_7,1.4986897e-05
HUM,1.2773934e-05
CH4_4,1.2680542e-05
HUMUS_N,1.1126167e-05
CH4_3,9.009016e-06
SURF_WTR_SURF,7.8183375e-06
TEMP_13,6.2222107e-06
TTL_SWC,4.4668923e-06
ECO_G,2.4114502e-06
CH4_6,2.0374043e-06
TEMP_1,1.8363344e-06
CO2_6,1.8077844e-06
ICE_3_SOIL,9.420203e-07
